source,source_description,raw_node_id,raw_label,raw_domain_style,harmonised_node_id,harmonised_node,integrated_domain,mapping_status,mapping_note
COM,community participatory CLD (Figure 2; confirmed attribution),CO29,Farm expansion,pressure,N25,Agricultural / farm expansion,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO30,Ruins,benefit,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO31,Education and awareness campaign,governance,N28,Education and awareness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO32,Illegal fishing practices,pressure,N22,Illegal / unregulated fishing,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO33,Economic motivation,livelihood,N19,Household income / employment,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO34,Fishing pressure,pressure,N21,Fishing pressure / effort,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO35,Human population growth,driver,N26,Population growth / immigration,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO36,Tourism,livelihood,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO37,Bribery,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO38,Ineffective MCS,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO39,Foreign fishers unaware of park regulations,governance,N22,Illegal / unregulated fishing,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO40,Foreign fishers,pressure,N22,Illegal / unregulated fishing,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO41,Effective enforcement,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO42,Beekeeping,livelihood,N31,Alternative livelihood opportunities,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO43,Ocean current,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO44,Demand for illegally caught fish,livelihood,N22,Illegal / unregulated fishing,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO45,Crimes and moral degradation,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO46,Overlap between VLC and village leaders,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO47,Lack of seaweed market,livelihood,N30,Seaweed market access and price,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO48,Low seaweed price,livelihood,N30,Seaweed market access and price,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
